C,DBE 1,DBE,H,KMD,N,O,S,class,intensity 1,intensity,isotope kind,m/z,ppm,s/n,theo
14,5,5,19,0.105639844,,2,,O2,4214081,4214081,,219.13905,0.012685553,7.1,219.1390528
9,8,8,5,0.226398767,2,5,,N2O5,4115582,4115582,,221.02057,-0.793682865,6.9,221.0203946
10,7,7,8,0.207137156,1,5,,N1O5,3887415,3887415,,222.04065,0.655644831,6.4,222.0407956
12,7,7,11,0.201274852,,5,,O5,4553424,4553424,,235.06131,-0.482513072,8.5,235.0611966
11,7,7,9,0.224220317,,6,,O6,4475101,4475101,,237.04051,-0.205956822,8.4,237.0404612
13,5,5,17,0.151530773,,4,,O4,4000883,4000883,,237.1133,-0.286867584,7.2,237.113232
11,6,6,11,0.210821009,,6,,O6,3505872,3505872,,239.05617,-0.246051438,6.1,239.0561112
12,5,5,15,0.174476238,,5,,O5,7134676,7134676,,239.09253,-0.139778958,15,239.0924966
11,5,5,13,0.197421702,,6,,O6,7279995,7279995,,241.07174,0.087857242,15.5,241.0717612
11,4,4,15,0.184022395,,6,,O6,4635998,4635998,,243.08735,0.251678603,9.1,243.0874112
13,9,9,9,0.228073467,,5,,O5,4541565,4541565,,245.04549,0.230895443,9,245.0455466
14,8,8,13,0.191728695,,4,,O4,6191625,6191625,,245.08177,0.660921426,13.2,245.081932
15,7,7,17,0.155383923,,3,,O3,3628115,3628115,,245.11843,-0.459451995,6.7,245.1183174
12,9,9,7,0.251018931,,6,,O6,4438380,4438380,,247.02486,-0.197632375,8.8,247.0248112
13,8,8,11,0.214674159,,5,,O5,6192329,6192329,,247.06117,0.107584276,13.3,247.0611966
14,7,7,15,0.178329388,,4,,O4,6610215,6610215,,247.09762,-0.153866742,14.4,247.097582
15,6,6,19,0.141984616,,3,,O3,5306404,5306404,,247.13402,-0.212921358,11.1,247.1339674
12,8,8,9,0.237619624,,6,,O6,4666454,4666454,,249.04058,-0.477111629,9.4,249.0404612
13,7,7,13,0.201274852,,5,,O5,9103143,9103143,,249.0769,-0.214472364,20.8,249.0768466
14,6,6,17,0.16493008,,4,,O4,6762761,6762761,,249.11332,-0.3533337,14.8,249.113232
15,5,5,21,0.128585309,,3,,O3,4124730,4124730,,249.14968,-0.251335325,8.1,249.1496174
12,7,7,11,0.224220317,,6,,O6,5888927,5888927,,251.05618,-0.274122385,12.7,251.0561112
13,6,6,15,0.187875545,,5,,O5,11598119,11598119,,251.09255,-0.212750682,27.5,251.0924966
14,5,5,19,0.151530773,,4,,O4,8237775,8237775,,251.12895,-0.270857336,18.8,251.128882
11,7,7,9,0.247165781,,7,,O7,5779719,5779719,,253.03539,-0.056198071,12.6,253.0353758
12,6,6,13,0.210821009,,6,,O6,9114423,9114423,,253.07188,-0.469511491,21.3,253.0717612
13,5,5,17,0.174476238,,5,,O5,12376071,12376071,,253.10821,-0.250565226,29.9,253.1081466
11,6,6,11,0.233766474,,7,,O7,7074417,7074417,,255.05101,0.061869581,16.2,255.0510258
15,10,10,11,0.218527309,,4,,O4,5157772,5157772,,255.06626,0.086173287,11.1,255.066282
12,5,5,15,0.197421702,,6,,O6,18386604,18386604,,255.08743,-0.073779023,46.1,255.0874112
13,4,4,19,0.161076931,,5,,O5,10731719,10731719,,255.12378,0.064987666,25.9,255.1237966
14,3,3,23,0.124732159,,4,,O4,33040291,33040291,,255.16019,-0.031431628,84.8,255.160182
16,1,1,31,0.052042615,,2,,O2,64801626,64801626,,255.233,-0.185007851,168.8,255.2329528
14,10,10,9,0.241472774,,5,,O5,5655726,5655726,,257.04555,-0.013305424,12.6,257.0455466
11,5,5,13,0.220367167,,7,,O7,11036598,11036598,,257.06667,0.02248405,27,257.0666758
15,9,9,13,0.205128002,,4,,O4,7199350,7199350,,257.08193,0.007701436,16.7,257.081932
12,4,4,17,0.184022395,,6,,O6,10404382,10404382,,257.10306,0.00458921,25.3,257.1030612
16,8,8,17,0.16878323,,3,,O3,4309518,4309518,,257.11833,-0.049082851,9,257.1183174
13,10,10,7,0.264418238,,6,,O6,4337372,4337372,,259.02492,-0.420114581,9.2,259.0248112
14,9,9,11,0.228073467,,5,,O5,7913923,7913923,,259.06125,-0.20620649,18.9,259.0611966
11,4,4,15,0.20696786,,7,,O7,4858483,4858483,,259.08245,-0.479461884,10.6,259.0823258
15,8,8,15,0.191728695,,4,,O4,5765115,5765115,,259.09764,-0.223931461,13.1,259.097582
16,7,7,19,0.155383923,,3,,O3,4670674,4670674,,259.13406,-0.357421688,10.1,259.1339674
12,10,10,5,0.287363703,,7,,O7,3780063,3780063,,261.00399,0.328653489,7.7,261.0040758
13,9,9,9,0.251018931,,6,,O6,7753736,7753736,,261.04045,0.042828226,18.5,261.0404612
14,8,8,13,0.214674159,,5,,O5,15242704,15242704,,261.07686,-0.051402873,38.8,261.0768466
15,7,7,17,0.178329388,,4,,O4,12958298,12958298,,261.11323,0.007582534,32.6,261.113232
16,6,6,21,0.141984616,,3,,O3,4175619,4175619,,261.14967,-0.201494073,8.8,261.1496174
12,9,9,7,0.273964396,,7,,O7,8666747,8666747,,263.01978,-0.206144615,21,263.0197258
13,8,8,11,0.237619624,,6,,O6,14161623,14161623,,263.0562,-0.337646974,35.8,263.0561112
14,7,7,15,0.201274852,,5,,O5,21268596,21268596,,263.09256,-0.241056286,55.1,263.0924966
15,6,6,19,0.16493008,,4,,O4,17869713,17869713,,263.1289,-0.06848393,45.9,263.128882
